集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,01,北海道,P,医療，福祉,年齢計,26.89,69.35,392.03
2010,01,北海道,P,医療，福祉,～19歳,13.99,6.42,174.3
2010,01,北海道,P,医療，福祉,20～24歳,19.42,36.54,269.58
2010,01,北海道,P,医療，福祉,25～29歳,22.54,57.91,328.39
2010,01,北海道,P,医療，福祉,30～34歳,25.67,64.32,372.36
2010,01,北海道,P,医療，福祉,35～39歳,29.42,78.12,431.16
2010,01,北海道,P,医療，福祉,40～44歳,29.25,72.53,423.53
2010,01,北海道,P,医療，福祉,45～49歳,27.43,82.76,411.92
2010,01,北海道,P,医療，福祉,50～54歳,33.38,87.74,488.3
2010,01,北海道,P,医療，福祉,55～59歳,29.01,85.8,433.92
2010,01,北海道,P,医療，福祉,60～64歳,28.07,73.19,410.03
2010,01,北海道,P,医療，福祉,65～69歳,35.87,79.41,509.85
2010,01,北海道,P,医療，福祉,70歳～,50.49,33.42,639.3
2010,01,北海道,Q,複合サービス事業,年齢計,25.51,119.73,425.85
2010,01,北海道,Q,複合サービス事業,～19歳,14.79,32.48,209.96
2010,01,北海道,Q,複合サービス事業,20～24歳,16.07,63.74,256.58
2010,01,北海道,Q,複合サービス事業,25～29歳,17.77,84.62,297.86
2010,01,北海道,Q,複合サービス事業,30～34歳,22.51,119.03,389.15
2010,01,北海道,Q,複合サービス事業,35～39歳,25.21,124.96,427.48
2010,01,北海道,Q,複合サービス事業,40～44歳,30.85,165.19,535.39
2010,01,北海道,Q,複合サービス事業,45～49歳,32.59,167.08,558.16
2010,01,北海道,Q,複合サービス事業,50～54歳,34.64,156.6,572.28
2010,01,北海道,Q,複合サービス事業,55～59歳,32.76,137.25,530.37
2010,01,北海道,Q,複合サービス事業,60～64歳,27.98,44.42,380.18
2010,01,北海道,Q,複合サービス事業,65～69歳,21.68,54.33,314.49
2010,01,北海道,Q,複合サービス事業,70歳～,-,-,-
2010,01,北海道,R,サービス業（他に分類されないもの）,年齢計,22.09,45.79,310.87
2010,01,北海道,R,サービス業（他に分類されないもの）,～19歳,15.88,12.01,202.57
2010,01,北海道,R,サービス業（他に分類されないもの）,20～24歳,16.26,21.15,216.27
2010,01,北海道,R,サービス業（他に分類されないもの）,25～29歳,19.42,39.16,272.2
2010,01,北海道,R,サービス業（他に分類されないもの）,30～34歳,20.75,43.26,292.26
2010,01,北海道,R,サービス業（他に分類されないもの）,35～39歳,22.44,52.15,321.43
2010,01,北海道,R,サービス業（他に分類されないもの）,40～44歳,23.85,57.69,343.89
2010,01,北海道,R,サービス業（他に分類されないもの）,45～49歳,24.55,56.53,351.13
2010,01,北海道,R,サービス業（他に分類されないもの）,50～54歳,24.99,52.31,352.19
2010,01,北海道,R,サービス業（他に分類されないもの）,55～59歳,24.03,51.73,340.09
2010,01,北海道,R,サービス業（他に分類されないもの）,60～64歳,19.95,28.28,267.68
2010,01,北海道,R,サービス業（他に分類されないもの）,65～69歳,15.28,14.42,197.78
2010,01,北海道,R,サービス業（他に分類されないもの）,70歳～,18.03,27.79,244.15
2010,02,青森県,C,鉱業，採石業，砂利採取業,年齢計,21.53,41.74,300.1
2010,02,青森県,C,鉱業，採石業，砂利採取業,～19歳,13.81,39.26,204.98
2010,02,青森県,C,鉱業，採石業，砂利採取業,20～24歳,16.27,44.07,239.31
2010,02,青森県,C,鉱業，採石業，砂利採取業,25～29歳,20.23,25.08,267.84
2010,02,青森県,C,鉱業，採石業，砂利採取業,30～34歳,18.47,36.42,258.06
2010,02,青森県,C,鉱業，採石業，砂利採取業,35～39歳,20.71,29.91,278.43
2010,02,青森県,C,鉱業，採石業，砂利採取業,40～44歳,22.68,44.3,316.46
2010,02,青森県,C,鉱業，採石業，砂利採取業,45～49歳,22.12,51.6,317.04
2010,02,青森県,C,鉱業，採石業，砂利採取業,50～54歳,22.99,34.5,310.38
2010,02,青森県,C,鉱業，採石業，砂利採取業,55～59歳,22.99,41.52,317.4
2010,02,青森県,C,鉱業，採石業，砂利採取業,60～64歳,19.5,50.76,284.76
2010,02,青森県,C,鉱業，採石業，砂利採取業,65～69歳,-,-,-
2010,02,青森県,C,鉱業，採石業，砂利採取業,70歳～,-,-,-
2010,02,青森県,D,建設業,年齢計,24.56,20.93,315.65
2010,02,青森県,D,建設業,～19歳,15.09,5.66,186.74
2010,02,青森県,D,建設業,20～24歳,17.89,14.82,229.5
2010,02,青森県,D,建設業,25～29歳,20.22,18.29,260.93
2010,02,青森県,D,建設業,30～34歳,21.71,24.85,285.37
2010,02,青森県,D,建設業,35～39歳,24.12,21.28,310.72
2010,02,青森県,D,建設業,40～44歳,24.45,26.96,320.36
2010,02,青森県,D,建設業,45～49歳,28.83,20.2,366.16
2010,02,青森県,D,建設業,50～54歳,28.46,21.28,362.8
2010,02,青森県,D,建設業,55～59歳,27.53,21.18,351.54
2010,02,青森県,D,建設業,60～64歳,23.46,16.71,298.23
2010,02,青森県,D,建設業,65～69歳,17.39,7.06,215.74
2010,02,青森県,D,建設業,70歳～,-,-,-
2010,02,青森県,E,製造業,年齢計,20.16,38.01,279.93
2010,02,青森県,E,製造業,～19歳,15.35,12.22,196.42
2010,02,青森県,E,製造業,20～24歳,16.67,28.61,228.65
2010,02,青森県,E,製造業,25～29歳,18.11,33.3,250.62
2010,02,青森県,E,製造業,30～34歳,19.72,34.84,271.48
2010,02,青森県,E,製造業,35～39歳,21.54,45.41,303.89
